Dataset_name,S1,S2,S6,S7,S10,S11
Quake,0.192,0.195,0.18899999999999997,0.191,0.195,0.191
Quake,0.192,0.19699999999999998,0.191,0.19399999999999998,0.2,0.19399999999999998
Quake,0.192,0.198,0.19399999999999998,0.19699999999999998,0.19899999999999998,0.196
Quake,0.192,0.2,0.203,0.19899999999999998,0.19699999999999998,0.198
Auto Price,2448.317,2448.317,2476.197,2448.317,4088.717,2448.317
Auto Price,2448.317,2418.409,10784.896999999999,2261.501,7800.568,3101.1040000000003
Auto Price,2448.317,2495.706,9705.53,3080.955,7942.08,3641.127
Auto Price,2448.317,2520.647,9664.112,3136.486,8292.673,3416.117
Auto Price,2448.317,3908.14,9627.716,3699.716,8271.951,4208.643
Friedman,1.034,1.034,1.44,1.034,4.022,1.034
Friedman,1.034,1.053,1.454,1.046,4.047,1.046
Friedman,1.034,1.075,1.463,1.048,4.056,1.057
Friedman,1.034,1.085,1.4680000000000002,1.057,4.05,1.069
Friedman,1.034,1.089,1.479,1.057,4.071000000000001,1.078
Online News,10735.125,10735.125,10835.169,10735.125,10755.264,10735.125
Online News,10735.125,10803.169,13301.413999999999,11051.728000000001,13753.171,11034.781
Online News,10735.125,11237.521999999999,13630.347,12221.86,14278.18,15566.906
Online News,10735.125,10980.506000000001,13401.186000000002,11774.192,11253.61,11565.505
Online News,10735.125,11240.089,11153.25,11612.193000000001,11269.91,11628.145
