Dataset_name,B1,B2,B4,B5,B7,B8,Cluster_count
Friedman,12.869,15.340,11.137,11.884,9.405,11.486,2
Friedman,12.338,16.163,11.306,14.394,13.314,15.677,3
Friedman,12.506,17.191,12.114,14.960,13.038,16.538,4
Friedman,12.447,23.514,13.354,14.127,14.016,19.221,5
Sales,1.688,1.503,1.166,1.892,1.252,1.899,1
Sales,1.634,1.707,1.562,2.720,1.532,2.753,2
Sales,1.661,3.004,2.176,3.836,2.000,3.633,3
Sales,1.707,4.293,2.655,4.046,2.477,3.956,4
Sales,1.635,5.441,3.516,4.208,3.157,4.639,5
Telecom,33.713,31.766,26.936,29.899,9.332,30.039,1
Telecom,31.838,32.035,19.459,31.794,6.329,22.706,2
Telecom,31.292,25.683,16.533,28.445,7.467,21.308,3
Telecom,31.469,26.586,19.313,36.562,8.762,34.876,4
Telecom,32.811,32.346,19.467,22.135,10.049,31.682,5
CPU Activity,4.603,4.841,4.500,5.115,1.623,5.115,1
CPU Activity,4.911,9.842,5.918,6.165,2.453,6.129,2
CPU Activity,5.073,5.934,4.858,6.604,4.640,6.305,3
CPU Activity,5.311,8.190,7.965,8.929,4.511,8.048,4
CPU Activity,4.829,10.122,6.908,12.307,4.849,10.346,5
Music Origin,3.331,2.999,1.287,3.502,1.073,2.989,1
Music Origin,3.911,5.037,2.194,5.359,2.063,4.541,2
Music Origin,3.758,3.511,2.676,5.350,2.494,3.878,3
Music Origin,3.028,3.983,3.768,7.200,3.320,4.527,4
Music Origin,3.792,5.817,5.860,7.252,6.801,6.538,5
Employee Accept,0.984,0.880,1.437,1.143,1.241,1.149,1
Employee Accept,0.990,1.738,1.789,2.053,2.111,2.020,2
Employee Accept,1.001,2.700,2.235,2.705,3.793,2.555,3
Employee Accept,1.001,2.810,3.043,3.701,4.384,2.865,4
Employee Accept,1.000,4.000,3.427,4.265,5.546,3.316,5
Soil Data,16.137,14.802,4.294,14.184,10.622,14.498,1
Soil Data,16.289,19.635,10.093,15.035,18.095,12.749,2
Soil Data,15.541,5.103,12.066,3.254,17.496,8.519,3
Soil Data,15.555,8.839,13.556,5.204,22.920,9.191,4
Soil Data,15.570,7.792,14.482,8.784,17.261,10.677,5
